Livingston,41651,2196,30.4953,-90.7467
Gaston,9625,255,35.2652,-81.0805
Guilford,33140,1893,35.9905,-79.9937
Hoke,6078,13,34.9358,-79.2999
Moore,26615,665,36.0444,-102.0080
New Hanover,6060,150,34.1230,-77.8834
Morton,2424,118,46.7283,-101.5026
Ashland,777,1,46.5986,-90.6618
Huron,3466,100,41.0796,-82.4066
Miami,18813,1560,40.6020,-85.9275
Berks,159899,8828,40.3711,-75.6306
Lackawanna,58648,5439,41.4846,-75.6660
Cheatham,3633,1,36.2607,-87.0412
Robertson,13288,24,30.8770,-96.5956
Sumner,39838,2158,36.3782,-86.4696
Lavaca,392,40,29.4428,-96.9436
McLennan,5832,224,31.3818,-97.2127
Rusk,2275,63,45.4590,-91.2734
Webb,22437,870,27.6555,-99.6178
Wichita,4389,96,33.9072,-98.5290
Box Elder,1220,45,41.6124,-112.1250
Cache,3826,11,41.9116,-111.9356
Charles City,1016,44,37.3441,-77.0687
Richmond city,32056,844,37.3441,-77.0687
Brown,86123,1262,44.3170,-88.0972
La Crosse,2229,1,43.9075,-90.9165
Chambers,19802,1101,29.7269,-94.8549
Mobile,73289,3898,30.2525,-88.1438
Walker,31994,576,30.7050,-95.5545
Yavapai,9514,182,35.2171,-112.4913
Craighead,6021,12,35.9116,-90.8011
Crittenden,12233,383,35.2267,-90.3241
Independence,954,1,35.7672,-91.5708
Poinsett,1249,70,35.4868,-90.3559
Pope,3840,14,35.3280,-93.2417
Searcy,411,1,36.0290,-92.8078
Sebastian,1001,1,35.3285,-94.2793
Van Buren,6694,318,35.7393,-85.4560
Crowley,1362,76,38.2209,-103.7567
Grand,588,1,40.0565,-106.3782
Morgan,44406,1930,39.6247,-78.2275
Tolland,29628,2381,41.7736,-72.3287
Windham,17138,533,43.1219,-72.4555
Hernando,5718,232,28.4690,-82.5999
Indian River,6001,364,27.6378,-80.4855
Bibb,20061,724,32.9597,-87.1334
Early,11934,1180,31.2988,-84.7170
Effingham,2708,115,38.9537,-88.6259
Glynn,4048,45,31.1450,-81.4740
Laurens,6399,169,32.3835,-82.9917
Peach,3069,147,32.5522,-83.8817
Rockdale,11827,387,33.6645,-83.9967
Owen,1619,55,39.2861,-86.7726
Tippecanoe,11338,133,40.5076,-86.8527
Dubuque,9849,416,42.4477,-90.8448
Muscatine,21346,1097,41.5898,-91.0271
Sedgwick,23865,734,40.9851,-102.2626
Christian,8313,453,39.5919,-89.4258
Daviess,15699,951,38.6679,-86.9974
Henderson,18707,1497,32.3075,-96.0138
Scott,54271,1097,36.3536,-84.5839
Assumption,11253,394,29.9886,-91.0555
Calcasieu,25699,1773,30.2393,-93.0128
Iberia,16225,1281,30.0049,-91.8202
Iberville,25194,1739,30.1610,-91.1495
Lafayette,40275,1438,42.5801,-90.0235
Plaquemines,10699,889,29.3443,-89.4683
St. James,15459,1138,30.0917,-90.8844
St. Landry,11145,2209,30.5280,-92.0851
Webster,10970,418,38.4110,-80.5542
West Baton Rouge,6863,1224,30.4456,-91.2098
Calvert,11110,547,38.4728,-76.4895
Wicomico,28487,711,38.2672,-75.8938
Hampshire,33471,2530,39.4449,-78.6977
Eaton,7954,323,42.6271,-85.0249
Genesee,101369,10539,42.9780,-77.9899
Midland,8753,761,32.0249,-102.1137
Mower,4611,18,43.5133,-92.5078
Holmes,12600,801,30.7234,-85.9374
Jones,23135,480,32.8898,-100.1329
Walthall,2129,1,31.1173,-90.1444
Wilkinson,6316,566,32.8866,-83.3349
Winston,5164,18,34.1496,-87.4027
Yazoo,8674,107,32.6720,-90.5445
Broadwater,274,1,46.4684,-111.6652
Flathead,2281,94,48.0858,-114.6710
Roosevelt,1221,1,33.8609,-103.1071
Nemaha,308,1,40.4787,-95.7313
Elko,997,61,40.7239,-115.4790
Cape May,21668,1598,38.9765,-74.9516
San Miguel,1488,1,35.3037,-105.3913
Schoharie,2181,1,42.7068,-74.3473
Custer,2462,171,41.2863,-99.3824
Grady,6343,258,30.8845,-84.3247
Logan,23813,266,37.6880,-81.8737
McClain,3665,75,35.2404,-97.5998
Lebanon,39327,821,40.3412,-76.4228
Westmoreland,23538,1608,40.4145,-79.5729
Abbeville,1632,1,34.3766,-82.3467
Dorchester,10486,230,38.3357,-76.2238
Saluda,4061,6,33.8573,-81.7313
