fips,county,Lat,Long
39031,Coshocton,40.2618,-81.848
39037,Darke,40.1157,-84.4966
39085,Lake,41.6581,-81.4323
39099,Mahoning|Columbiana,40.9042,-80.9524
40117,Pawnee,36.1857,-96.4904
41039,Lane,44.0563,-123.1173
42007,Beaver,40.7355,-80.3091
45017,Calhoun,33.5579,-80.715
45079,Richland,34.0324,-80.9717
45091,York,34.952,-81.3436
48041,Brazos,30.5852,-96.296
48139,Ellis,32.314,-97.0053
48303,Lubbock,33.6901,-101.9893
51540,Charlottesville,38.0375,-78.4855
51075,Goochland,37.6973,-77.8944
51087,Henrico,37.6133,-77.4768
51830,Williamsburg,37.2692,-76.7076
53021,Franklin,46.5737,-119.0013
53045,Mason,47.3475,-123.0952
54037,Jefferson,39.3032,-77.981
55059,Kenosha,42.5707,-88.1044
56021,Laramie,41.1405,-104.7927
56029,Park,44.5212,-109.055
1015,Calhoun|Talladega,33.5966,-85.869
1121,Talladega,33.3891,-86.0361
2122,Kenai Peninsula,60.4997,-149.4464
4005,Coconino,36.592,-111.1071
5011,Bradley,33.4472,-92.1714
5045,Faulkner,35.2289,-92.3836
5143,Washington,36.1642,-94.2457
6045,Mendocino,39.4429,-123.3963
8125,Yuma,39.7029,-102.2938
9007,Middlesex,41.3823,-72.4386
10001,Kent,38.8699,-75.579
12073,Leon,30.4551,-84.2527
12119,Sumter,28.6335,-81.9986
12131,Walton,30.9746,-86.3099
13073,Columbia,33.4262,-82.3127
13153,Houston,32.6341,-83.6854
16083,Twin Falls,42.5313,-114.3012
17077,Jackson,37.9013,-89.3398
17091,Kankakee,41.145,-88.0539
17093,Kendall,41.6561,-88.4508
17099,LaSalle|Livingston,41.1242,-88.8295
17119,Madison,38.7631,-90.0816
17189,Washington,38.2214,-89.2127
17199,Williamson|Franklin,37.8611,-88.9993
18019,Clark,38.5395,-85.7655
18041,Fayette,39.6582,-85.141
18079,Jennings,38.9853,-85.6106
18095,Madison|Tipton,40.2743,-85.8371
19183,Washington,41.2139,-91.5367
19191,Winneshiek,43.1014,-92.0463
20103,Leavenworth,39.1084,-95.0829
21073,Franklin,38.1924,-84.8643
21117,Kenton,38.9949,-84.6017
